SRRecordID,ServiceRequesNum,SRType,Agency,Neighborhood,StreetAddress,ZipCode,MethodReceived,SRStatus,CreatedDate,StatusDate,DueDate,LastActivity,Outcome,LastActivityDate,GeoLocation
1150574348,16-00757146,SW-HGW,Bureau of Solid Waste,BROADWAY EAST,1601 N REGESTER ST,21213,Interface,CLOSED,10/21/2016 09:55:59 AM +0000,11/17/2016 03:43:16 PM +0000,11/20/2016 09:55:59 AM +0000,Dispatch Work Crew,Completed Property Management,11/17/16,"1601 N REGESTER ST
21213
(39.308557, -76.593928)"
1151001753,16-00769869,TRM-Grass Mowing,Department of Transportation,MORRELL PARK,2300 WASHINGTON BLVD,,Internet,DUPCLOSD,10/27/2016 08:24:17 AM +0000,10/28/2016 12:13:40 PM +0000,,Refer to TRM,TRM-Grass Mowing,10/27/16,"2300 WASHINGTON BLVD
BALTIMORE, MD
(39.269372, -76.649316)"
1150561240,16-00756754,SW-Rat Rubout - Proactive,Bureau of Solid Waste,MIDTOWN-EDMONDSON,1111 APPLETON ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1111 APPLETON ST
21217
(39.301415, -76.648541)"
1150572652,16-00757093,SW-HGW,Bureau of Solid Waste,BIDDLE STREET,1028 N MILTON AVE,21205,Interface,CLOSED,10/21/2016 09:54:55 AM +0000,11/02/2016 09:09:36 AM +0000,11/20/2016 09:54:55 AM +0000,Dispatch Work Crew,Completed Property Management,10/31/16,"1028 N MILTON AVE
21205
(39.303088, -76.582565)"
1151003992,16-00769940,SW-Rat Rubout - Proactive,Bureau of Solid Waste,WAVERLY,600 E 35TH ST,21218,Mass Entry,CLOSED,10/26/2016 12:00:00 AM +0000,10/26/2016 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/26/16,"600 E 35TH ST
21218
(39.330868, -76.608018)"
1150568031,16-00756939,TRM-Illegal Sign Removal,Department of Transportation,DOWNTOWN,316 N CHARLES ST,21201,Phone,CLOSED,10/21/2016 09:31:09 AM +0000,10/21/2016 04:05:52 PM +0000,10/24/2016 09:31:09 AM +0000,Dispatch Work Crew,Sign not illegal-TRM,10/21/16,"316 N CHARLES ST
21201
(39.293043, -76.615397)"
1150586192,16-00757519,,Department of Transportation,FRANKFORD,5406 RADECKE AVE,21206,Phone,CLOSED,10/21/2016 10:52:46 AM +0000,12/06/2016 11:48:29 AM +0000,11/20/2016 10:52:46 AM +0000,,,12/6/16,"5406 RADECKE AVE
21206
(39.329256, -76.540785)"
1150575236,16-00757173,SW-HGW,Bureau of Solid Waste,CENTRAL PARK HEIGHTS,3939 REISTERSTOWN RD,21215,Interface,CLOSED,10/21/2016 09:56:29 AM +0000,11/17/2016 04:07:21 PM +0000,11/20/2016 09:56:29 AM +0000,Dispatch Work Crew,Canceled Property Management,11/17/16,"3939 REISTERSTOWN RD
21215
(39.333411, -76.663676)"
1150561875,16-00756771,SW-Rat Rubout - Proactive,Bureau of Solid Waste,MIDTOWN-EDMONDSON,1128 N MONROE ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1128 N MONROE ST
21217
(39.301554, -76.64769)"
1149370382,16-00721812,Forestry Fallen Limb,Department of Recreation and Parks,FELLS POINT,306 S REGESTER ST,21231,Internet,CLOSED,10/05/2016 07:56:34 PM +0000,10/08/2016 06:57:34 AM +0000,10/06/2016 07:56:34 PM +0000,Dispatch Work Crew,Removed entire limb,10/8/16,"306 S REGESTER ST
21231
(39.287316, -76.592378)"
1149564131,16-00727358,TRS-Abandoned Vehicle,Department of Transportation,UPPER FELLS POINT,405 S COLLINGTON AVE,21231,Mobile Apps,CLOSED,10/08/2016 08:53:11 AM +0000,10/17/2016 07:55:20 AM +0000,10/13/2016 08:53:11 AM +0000,Dispatch PCA,Gone On Arrival (Closed),10/17/16,"405 S COLLINGTON AVE
21231
(39.286468, -76.585904)"
1150838452,16-00765103,ECC-Vehicle Look Up,Mayors Office of Information Technology,WALBROOK,2715 CLIFTON AVE,21216,Phone,CLOSED,10/25/2016 11:17:50 AM +0000,10/25/2016 11:17:50 AM +0000,10/25/2016 11:17:50 AM +0000,,,,"2715 CLIFTON AVE
21216
(39.311419, -76.66348)"
1151024277,16-00770466,SW-Rat Rubout - Proactive,Bureau of Solid Waste,PARKLANE,4406 FINNEY AVE,21215,Mass Entry,CLOSED,10/26/2016 12:00:00 AM +0000,10/26/2016 12:00:00 AM +0000,10/31/2016 12:00:00 AM +0000,Dispatch Investigator,Area Baited,10/26/16,"4406 FINNEY AVE
21215
(39.341542, -76.661317)"
1150560573,16-00756736,SW-Rat Rubout - Proactive,Bureau of Solid Waste,MIDTOWN-EDMONDSON,1032 APPLETON ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1032 APPLETON ST
21217
(39.300731, -76.648493)"
1150568185,16-00756946,WW-Water Turn Off/On (Bill),Bureau of Water and Waste Water,TEN HILLS,219 ATHOLGATE LN,21229,Phone,OPEN,10/21/2016 09:32:16 AM +0000,10/21/2016 09:32:16 AM +0000,10/28/2016 09:32:16 AM +0000,,,,"219 ATHOLGATE LN
21229
(39.285479, -76.696753)"
1150576940,16-00757226,SW-HGW,Bureau of Solid Waste,KERNEWOOD,4656 YORK RD,21212,Interface,CLOSED,10/21/2016 09:57:22 AM +0000,11/17/2016 04:07:09 PM +0000,11/20/2016 09:57:22 AM +0000,Dispatch Work Crew,Canceled Property Management,11/16/16,"4656 YORK RD
21212
(39.346116, -76.609604)"
1150623320,16-00758649,SW-Rat Rubout,Bureau of Solid Waste,NEW NORTHWOOD,1241 WOODBOURNE AVE,21239,Phone,CLOSED,10/21/2016 04:07:14 PM +0000,10/24/2016 02:54:34 PM +0000,11/04/2016 04:07:14 PM +0000,Dispatch Investigator,Area Baited,10/24/16,"1241 WOODBOURNE AVE
21239
(39.353956, -76.596261)"
1150619950,16-00758544,,Department of Transportation,BROADWAY EAST,2408 LLEWELYN AVE,21213,Phone,CLOSED,10/21/2016 03:40:01 PM +0000,10/26/2016 06:11:33 PM +0000,11/20/2016 03:40:01 PM +0000,,,10/26/16,"2408 LLEWELYN AVE
21213
(39.307354, -76.583643)"
1150566611,16-00756897,SW-Municipal Trash Can Concern,Bureau of Solid Waste,BETTER WAVERLY,600 E 29TH ST,21218,Phone,CLOSED,10/21/2016 09:21:21 AM +0000,12/22/2016 10:08:58 AM +0000,11/20/2016 09:21:21 AM +0000,Acknowledged Concern,Completed,12/22/16,"600 E 29TH ST
21218
(39.32378, -76.608442)"
1150835277,16-00765011,SW-Dirty Street,Bureau of Solid Waste,FAIRFIELD AREA,3301 CHILDS ST,21226,Mobile Apps,CLOSED,10/25/2016 10:50:04 AM +0000,11/02/2016 03:49:19 PM +0000,11/01/2016 10:50:04 AM +0000,Dispatch Work Crew,Cleaned and removed debris (Close),11/2/16,"3301 CHILDS ST
21226
(39.238439, -76.586977)"
1150557423,16-00756644,,Department of Transportation,GLEN,5802 WINNER AVE,21215,Phone,OPEN,10/21/2016 08:40:12 AM +0000,11/29/2016 10:17:17 AM +0000,11/20/2016 08:40:12 AM +0000,,Application sent,10/21/16,"5802 WINNER AVE
21215
(39.357071, -76.681557)"
1150563650,16-00756819,SW-Rat Rubout - Proactive,Bureau of Solid Waste,HARLEM PARK,1824 W LANVALE ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1824 W LANVALE ST
21217
(39.297511, -76.646903)"
1150576647,16-00757216,SW-HGW,Bureau of Solid Waste,BELAIR-PARKSIDE,4107 EIERMAN AVE,21206,Interface,CLOSED,10/21/2016 09:57:13 AM +0000,11/17/2016 04:07:01 PM +0000,11/20/2016 09:57:13 AM +0000,Dispatch Work Crew,Canceled Property Management,11/17/16,"4107 EIERMAN AVE
21206
(39.329933, -76.565949)"
1150561835,16-00756770,SW-Rat Rubout - Proactive,Bureau of Solid Waste,MIDTOWN-EDMONDSON,1126 N MONROE ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1126 N MONROE ST
21217
(39.301509, -76.647688)"
1151023351,16-00770435,BGE-StLight(s) Out,Department of Transportation,INNER HARBOR,202 S CHARLES ST,21201,Phone,CLOSED,10/27/2016 09:25:45 AM +0000,10/29/2016 12:38:46 AM +0000,10/31/2016 09:25:45 AM +0000,,,,"202 S CHARLES ST
21201
(39.287306, -76.614959)"
1150585351,16-00757493,TRS-Abandoned Vehicle,Department of Transportation,MID-GOVANS,827 BRADHURST RD,21212,Mobile Apps,CLOSED,10/21/2016 10:46:34 AM +0000,10/26/2016 06:57:02 PM +0000,10/26/2016 10:46:34 AM +0000,Dispatch PCA,Gone On Arrival (Closed),10/26/16,"827 BRADHURST RD
21212
(39.359016, -76.604145)"
1150772111,16-00763083,TRS-Abandoned Vehicle,Department of Transportation,BEREA,3028 E FEDERAL ST,21213,Phone,CLOSED,10/24/2016 04:00:29 PM +0000,10/25/2016 04:59:13 PM +0000,10/29/2016 04:00:29 PM +0000,Dispatch PCA,Gone On Arrival (Closed),10/25/16,"3028 E FEDERAL ST
21213
(39.309277, -76.574702)"
1150572980,16-00757104,SW-HGW,Bureau of Solid Waste,FRANKLINTOWN ROAD,2950 EDMONDSON AVE,21223,Interface,CLOSED,10/21/2016 09:55:06 AM +0000,11/21/2016 10:04:58 AM +0000,11/20/2016 09:55:06 AM +0000,Dispatch Work Crew,Completed Property Management,11/18/16,"2950 EDMONDSON AVE
21223
(39.294402, -76.666544)"
1150585832,16-00757507,TRS-Parking Complaints,Department of Transportation,FELLS POINT,1815 THAMES ST,21231,Mobile Apps,DUPCLOSD,10/21/2016 10:50:37 AM +0000,10/21/2016 10:50:37 AM +0000,10/22/2016 10:50:37 AM +0000,,,,"1815 THAMES ST
21231
(39.281941, -76.590557)"
1150584932,16-00757481,SW-Rat Rubout - Proactive,Bureau of Solid Waste,JOHNSTON SQUARE,1301 WILCOX ST,21202,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/25/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/20/16,"1301 WILCOX ST
21202
(39.305303, -76.604381)"
1150586269,16-00757522,WW Water Meter Cover Missing /Damaged,Bureau of Water and Waste Water,GWYNNS FALLS,3224 KINGSLEY ST,21229,Phone,CLOSED,10/21/2016 10:54:05 AM +0000,10/28/2016 12:00:00 AM +0000,10/28/2016 10:54:05 AM +0000,Cityworks SR Comments,UPDATED,10/28/16,"3224 KINGSLEY ST
21229
(39.278804, -76.670387)"
1150574915,16-00757163,SW-HGW,Bureau of Solid Waste,FOUR BY FOUR,3201 LYNDALE AVE,21213,Interface,CLOSED,10/21/2016 09:56:19 AM +0000,11/21/2016 10:05:04 AM +0000,11/20/2016 09:56:19 AM +0000,Dispatch Work Crew,Completed Property Management,11/18/16,"3201 LYNDALE AVE
21213
(39.316448, -76.578368)"
1150573272,16-00757113,SW-Cleaning,Bureau of Solid Waste,MOSHER,2738 HARLEM AVE,21216,Interface,CLOSED,10/21/2016 09:55:18 AM +0000,11/28/2016 09:39:47 AM +0000,11/20/2016 09:55:18 AM +0000,Dispatch Work Crew,Canceled Property Management,11/18/16,"2738 HARLEM AVE
21216
(39.295548, -76.662534)"
1150575104,16-00757169,SW-HGW,Bureau of Solid Waste,FOUR BY FOUR,3165 LYNDALE AVE,21213,Interface,CLOSED,10/21/2016 09:56:25 AM +0000,11/21/2016 10:05:04 AM +0000,11/20/2016 09:56:25 AM +0000,Dispatch Work Crew,Completed Property Management,11/18/16,"3165 LYNDALE AVE
21213
(39.316442, -76.57859)"
1150569170,16-00756981,Forestry Tree Removal,Department of Recreation and Parks,UPPER FELLS POINT,1906 BANK ST,21231,Phone,CLOSED,10/21/2016 09:38:42 AM +0000,11/21/2016 02:54:58 PM +0000,04/19/2017 09:38:42 AM +0000,Dispatch Inspector,Tree Removal,10/21/16,"1906 BANK ST
21231
(39.286761, -76.58987)"
1150571544,16-00757070,SW-Graffiti Removal Unscheduled,Bureau of Solid Waste,COLDSTREAM HOMESTEAD MONTEBELLO,2709 LOCH RAVEN RD,21218,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,Dispatch Work Crew,Graffiti Cleaned and Removed,10/20/16,"2709 LOCH RAVEN RD
21218
(39.320814, -76.604328)"
1150581834,16-00757374,SW-Graffiti Removal Unscheduled,Bureau of Solid Waste,ABELL,3116 GREENMOUNT AVE,21218,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,Dispatch Work Crew,Graffiti Cleaned and Removed,10/20/16,"3116 GREENMOUNT AVE
21218
(39.32622, -76.609408)"
1150556191,16-00756611,TRM-Illegal Sign Removal,Department of Transportation,FOUR BY FOUR,2101 BELAIR RD,21213,Phone,CLOSED,10/21/2016 08:28:32 AM +0000,10/21/2016 12:20:53 PM +0000,10/24/2016 08:28:32 AM +0000,Dispatch Work Crew,Sign Removed (Close),10/21/16,"2101 BELAIR RD
21213
(39.316157, -76.579923)"
1150940543,16-00768073,SW-Leaf Collection Scheduling,Bureau of Solid Waste,ASHBURTON,3534 LYNCHESTER RD,21215,Phone,CLOSED,10/26/2016 11:01:53 AM +0000,11/14/2016 04:53:46 PM +0000,03/05/2017 11:01:53 AM +0000,Collected bags,Closed,11/14/16,"3534 LYNCHESTER RD
21215
(39.327227, -76.668793)"
1150562022,16-00756775,HCD-Vacant Building,HCD-Department of Housing,RESERVOIR HILL,802 NEWINGTON AVE,21217,Phone,CLOSED,10/21/2016 09:08:13 AM +0000,10/26/2016 03:25:44 PM +0000,11/05/2016 09:08:13 AM +0000,Dispatch Inspector,Condition Does Not Exist,10/26/16,"802 NEWINGTON AVE
21217
(39.313586, -76.632059)"
1150557536,16-00756650,HLTH-Animal-Animal In Danger/Injured/Abused/Neglected,Health Department,WYNDHURST,604 GLADSTONE AVE,21210,Phone,CLOSED,10/21/2016 08:41:27 AM +0000,10/21/2016 06:44:43 PM +0000,10/24/2016 08:41:27 AM +0000,Investigation,Resolved  Close SR,10/21/16,"604 GLADSTONE AVE
21210
(39.354168, -76.630406)"
1150582905,16-00757414,SW-Graffiti Removal Unscheduled,Bureau of Solid Waste,MID-TOWN BELVEDERE,12 W CHASE ST,21201,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,Dispatch Work Crew,Graffiti Cleaned and Removed,10/20/16,"12 W CHASE ST
21201
(39.302344, -76.616966)"
1150560403,16-00756731,TRS-Parking Complaints,Department of Transportation,PERRING LOCH,2000 HILLENWOOD RD,21239,Phone,CLOSED,10/21/2016 09:04:11 AM +0000,10/21/2016 11:07:47 AM +0000,10/22/2016 09:04:11 AM +0000,Dispatch PCA,No Violation Found,10/21/16,"2000 HILLENWOOD RD
21239
(39.354095, -76.580227)"
1150571944,16-00757075,HCD-Sanitation Property,HCD-Department of Housing,ALLENDALE,508 DENISON ST,21229,Phone,CLOSED,10/21/2016 09:54:05 AM +0000,10/24/2016 04:10:32 PM +0000,10/31/2016 09:54:05 AM +0000,,Send Message,10/24/16,"508 DENISON ST
21229
(39.293113, -76.674093)"
1150777246,16-00763244,SW-Dirty Street - Proactive,Bureau of Solid Waste,IRVINGTON,4100 FREDERICK AVE,21229,Mass Entry,CLOSED,10/24/2016 04:57:36 PM +0000,10/24/2016 04:57:36 PM +0000,10/31/2016 04:57:36 PM +0000,Dispatch Work Crew,Cleaned and removed debris (Close),10/24/16,"4100 FREDERICK AVE
21229
(39.281712, -76.683434)"
1150555604,16-00756597,PABC-Handicapped Parking Request,Parking Authority of Baltimore City Inc.,HOWARD PARK,2919 FENDALL RD,21207,Phone,CLOSED,10/21/2016 08:19:46 AM +0000,10/24/2016 02:02:31 PM +0000,11/04/2016 08:19:46 AM +0000,,,,"2919 FENDALL RD
21207
(39.326981, -76.705871)"
1150557038,16-00756633,HCD-Sanitation Property,HCD-Department of Housing,LIBERTY SQUARE,2313 WICHITA AVE,21215,Phone,CLOSED,10/21/2016 08:37:44 AM +0000,10/31/2016 04:01:56 PM +0000,10/31/2016 08:37:44 AM +0000,,Send Message,10/31/16,"2313 WICHITA AVE
21215
(39.322158, -76.656611)"
1150624257,16-00758676,SW-Rat Rubout,Bureau of Solid Waste,LAKE WALKER,736 E LAKE AVE,21212,Internet,CLOSED,10/21/2016 04:13:53 PM +0000,10/24/2016 03:00:56 PM +0000,11/04/2016 04:13:53 PM +0000,Dispatch Investigator,No Active Rodent Sign,10/24/16,"736 E LAKE AVE
21212
(39.366871, -76.605625)"
1150556337,16-00756615,SW-Rat Rubout - Proactive,Bureau of Solid Waste,OLIVER,1423 AISQUITH ST,21202,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/25/2016 12:00:00 AM +0000,Dispatch Investigator,Area Baited,10/20/16,"1423 AISQUITH ST
21202
(39.306886, -76.602329)"
1150573366,16-00757116,SW-Cleaning,Bureau of Solid Waste,FOUR BY FOUR,3236 LYNDALE AVE,21213,Interface,CLOSED,10/21/2016 09:55:21 AM +0000,10/27/2016 09:11:16 AM +0000,11/20/2016 09:55:21 AM +0000,Dispatch Work Crew,Canceled Property Management,10/25/16,"3236 LYNDALE AVE
21213
(39.316461, -76.577292)"
1150563927,16-00756827,SW-Rat Rubout - Proactive,Bureau of Solid Waste,HARLEM PARK,1817 RAYNER AVE,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1817 RAYNER AVE
21217
(39.296925, -76.646696)"
1150575962,16-00757196,SW-Boarding,Bureau of Solid Waste,BREWERS HILL,3807 FAIT AVE,21224,Interface,CLOSED,10/21/2016 09:56:51 AM +0000,10/27/2016 09:08:43 AM +0000,10/28/2016 09:56:51 AM +0000,Dispatch Work Crew,Completed Property Management,10/21/16,"3807 FAIT AVE
21224
(39.283656, -76.564766)"
1112333280,15-00653227,SW-Rat Rubout - Proactive,Bureau of Solid Waste,ARLINGTON,3674 W ROGERS AVE ,21215,Mass Entry,CLOSED,08/13/2015 12:00:00 AM +0000,08/13/2015 12:00:00 AM +0000,08/18/2015 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,8/13/15,"3674 W ROGERS AVE
21215
(39.351048, -76.684492)"
1150573672,16-00757125,SW-Boarding,Bureau of Solid Waste,POPPLETON,1085 W FAYETTE ST,21223,Interface,CLOSED,10/21/2016 09:55:34 AM +0000,10/27/2016 09:07:04 AM +0000,10/28/2016 09:55:34 AM +0000,Dispatch Work Crew,Completed Property Management,10/24/16,"1085 W FAYETTE ST
21223
(39.289816, -76.636291)"
1150553194,16-00756521,HLTH-Animal-Dead Animal Pick Up - Wildlife or Stray,Health Department,MORGAN STATE UNIVERSITY,2089 ECHODALE AVE,21239,Mobile Apps,CLOSED,10/21/2016 07:43:56 AM +0000,10/23/2016 06:19:12 PM +0000,10/28/2016 07:43:56 AM +0000,Investigation,Resolved  Close SR,10/23/16,"2089 ECHODALE AVE
21239
(39.354152, -76.574201)"
1150622248,16-00758615,SW-Dirty Street - Proactive,Bureau of Solid Waste,PENN NORTH,1300 W NORTH AVE,21217,Mass Entry,CLOSED,10/21/2016 03:56:50 PM +0000,10/21/2016 03:56:50 PM +0000,10/28/2016 03:56:50 PM +0000,Dispatch Work Crew,Cleaned and removed debris (Close),10/21/16,"1300 W NORTH AVE
21217
(39.310242, -76.638603)"
1150574850,16-00757161,SW-HGW,Bureau of Solid Waste,BROADWAY EAST,1903 E FEDERAL ST,21213,Interface,CLOSED,10/21/2016 09:56:16 AM +0000,11/21/2016 10:04:28 AM +0000,11/20/2016 09:56:16 AM +0000,Dispatch Work Crew,Completed Property Management,11/18/16,"1903 E FEDERAL ST
21213
(39.30866, -76.591433)"
1150583441,16-00757435,TRS-Parking Complaints,Department of Transportation,SBIC,1700 OLIVE ST,21230,Phone,CLOSED,10/21/2016 10:32:42 AM +0000,10/21/2016 11:57:47 AM +0000,10/22/2016 10:32:42 AM +0000,Dispatch PCA,Citation Issued,10/21/16,"1700 OLIVE ST
21230
(39.270484, -76.614543)"
1150557807,16-00756659,TRS-48 Hour Parking Complaint,Department of Transportation,ALLENDALE,3400 W FRANKLIN ST,21229,Phone,CLOSED,10/21/2016 08:43:52 AM +0000,10/26/2016 06:36:19 PM +0000,10/26/2016 08:43:52 AM +0000,Dispatch PCA,Gone On Arrival (Closed),10/26/16,"3400 W FRANKLIN ST
21229
(39.292746, -76.674521)"
1150940029,16-00768055,SW-Dirty Alley,Bureau of Solid Waste,ALLENDALE,315 LYNDHURST ST,21229,Phone,CLOSED,10/26/2016 10:56:33 AM +0000,11/09/2016 03:15:24 PM +0000,11/02/2016 10:56:33 AM +0000,Dispatch Work Crew,Cleaned and removed debris (Close),11/9/16,"315 LYNDHURST ST
21229
(39.291176, -76.680404)"
1150771074,16-00763058,SW-Rat Rubout - Proactive,Bureau of Solid Waste,DARLEY PARK,1638 DARLEY AVE,21213,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/25/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/20/16,"1638 DARLEY AVE
21213
(39.314653, -76.595146)"
1150567933,16-00756936,HCD-Sanitation Property,HCD-Department of Housing,CARROLLTON RIDGE,2219 WILKENS AVE,21223,Phone,CLOSED,10/21/2016 09:30:30 AM +0000,10/28/2016 11:09:02 AM +0000,10/31/2016 09:30:30 AM +0000,,Send Message,10/28/16,"2219 WILKENS AVE
21223
(39.28053, -76.651)"
1150557674,16-00756655,ECC-Vehicle Look Up,Mayors Office of Information Technology,EDMONDSON VILLAGE,3803 HARLEM AVE,21229,Phone,CLOSED,10/21/2016 08:42:57 AM +0000,10/21/2016 08:42:57 AM +0000,10/21/2016 08:42:57 AM +0000,,,,"3803 HARLEM AVE
21229
(39.295136, -76.680361)"
1150557187,16-00756637,SW-Rat Rubout - Proactive,Bureau of Solid Waste,OLIVER,1219 E LANVALE ST,21202,Mass Entry,CLOSED,10/20/2016 12:00:00 AM +0000,10/20/2016 12:00:00 AM +0000,10/25/2016 12:00:00 AM +0000,Dispatch Investigator,Area Baited,10/20/16,"1219 E LANVALE ST
21202
(39.309302, -76.601556)"
1150572520,16-00757089,SW-Boarding,Bureau of Solid Waste,ALLENDALE,53 N MONASTERY AVE,21229,Interface,CLOSED,10/21/2016 09:54:50 AM +0000,10/27/2016 09:08:55 AM +0000,10/28/2016 09:54:50 AM +0000,Dispatch Work Crew,Completed Property Management,10/24/16,"53 N MONASTERY AVE
21229
(39.2875, -76.677084)"
1150561917,16-00756772,SW-Rat Rubout - Proactive,Bureau of Solid Waste,MIDTOWN-EDMONDSON,1130 N MONROE ST,21217,Mass Entry,CLOSED,10/17/2016 12:00:00 AM +0000,10/17/2016 12:00:00 AM +0000,10/22/2016 12:00:00 AM +0000,Dispatch Investigator,No Active Rodent Sign,10/17/16,"1130 N MONROE ST
21217
(39.301589, -76.647691)"
1150623479,16-00758651,HCD-Vacant Building,HCD-Department of Housing,PATTERSON PLACE,153 N PATTERSON PARK AVE,21231,Mobile Apps,CLOSED,10/21/2016 04:07:55 PM +0000,10/24/2016 04:27:52 PM +0000,11/05/2016 04:07:55 PM +0000,Dispatch Inspector,Condition Does Not Exist,10/24/16,"153 N PATTERSON PARK AVE
21231
(39.294183, -76.584821)"
1150567313,16-00756916,SW-Bulk-Scheduled,Bureau of Solid Waste,MOSHER,2731 RIGGS AVE,21216,Phone,CLOSED,10/21/2016 09:25:07 AM +0000,11/01/2016 04:23:42 PM +0000,03/10/2017 09:25:07 AM +0000,Pick Up Bulk Items,Abated - Close SR,11/1/16,"2731 RIGGS AVE
21216
(39.300361, -76.662669)"
